tconst,text,genre,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
tt8907844,"In a small Maharashtrian town, a woman's rise in the political hierarchy creates ripples across the social-political spectrum. Directed by Makarand Mane, KaaGaR stars Rinku Rajguru in the lead role.Guruji known to be a close aide of Aabaasaheb switches to the party of Bhaiyaasaheb during the upcoming elections as Bhaiyaasaheb is a youth leader and believes in developing changes.Yuvraj a hot tempered guy ready to do anything for Guruji and Bhaiyasaheb he secretly romances Rani daughter of Guruji.Rani and Yuvraj plan to elope and get married.On the wedding day Yuvraj has to rush to help Guruji who is depressed as Aabaashaeb might eliminate him and also tells he was responsible for death of Yuvraj's father.Guruji and Yuvraj then plan to kill Aabaasaheb during a meeting.",Crime,movie,Kaagar,Kaagar,0,2018,\N,\N,"Crime,Drama"
tt8905306,"Anna travels to Tibet to find a high-altitude church to serve a mission and meet Father Edward.She is lost in the new environment. However, having passed acclimatization, Anna is happily beginning to overcome the difficulties of her transition.",Crime,movie,Salvation,Salvation,0,2018,\N,90,Crime
tt8824508,"Weilai Liu (also known as Runlai Liu) Born in 1976, Runlai entered the Beijing Academy for Applied Art in 1992. He has worked as both a designer and filmmaker. In 2017 he began creating independent films. He currently lives in Beijing.",Crime,movie,Sacrificial Dogs,Sacrificial Dogs,0,2018,\N,50,"Crime,Fantasy,Mystery"
tt8820540,A retired detective gets pulled into a larger conspiracy when he decides to investigate the abduction of a high school student.,Crime,movie,Bostrom,Bostrom,0,2018,\N,91,"Action,Crime,Mystery"
tt8742576,"An unfinished youth with no special features, comes to a place, rents a cheap rental house, and lives there alone. Later, he was attacked and mistreated by a group of unknown people nearby. Finally, his spirit is close to collapse... He sealed himself in the room. Later, the landlord came to open the room, the chamber was still intact, but there was no one in it. There are some cruel and evil things happened... This is an unscrupulous movie!",Crime,movie,A Room,A Room,0,2018,\N,110,"Crime,Drama,Fantasy"
tt8709364,A stand up comedian with a brutal alter-ego is interrogated by police about the contents of his hard drive.,Crime,movie,Murder Box,Murder Box,0,2018,\N,82,"Crime,Horror"
tt8685842,"Derrick Baker aka Lucky, just might be the unluckiest man in America. Nothing he tries ever works, jobs, relationships and especially making money. Staying true to form, the only one night stand he ever had goes terribly wrong and he has to pay big for it.",Crime,movie,Collusion,Collusion,0,2018,\N,\N,"Comedy,Crime"
tt8651728,An old man tries to recover his memory. A woman wants to find her daughter. A sinister world awaits them.,Crime,movie,The Return of the Wolf,The Return of the Wolf,0,2018,\N,109,"Crime,Drama,Thriller"
tt8585488,"A stranger comes to a small town and sets into motion a series of events that would affect the lives of those who live there, including the nefarious Neo-Nazi gang that runs it's criminal underworld.",Crime,movie,Third Law,Third Law,0,2018,\N,100,"Comedy,Crime,Thriller"
tt8530898,"The story is set against the backdrop of the middle reaches of the Yellow River and Jin-Shaan Grand Canyon. 20 years ago, while pursuing the ruthless criminal Qin Jin, a gun battle broke out between the outlaw and the police. Qin fled unscathed, whereas policemen Tianjiao was killed and Jiang Han was seriously wounded. 20 years later, Jiang is once again on the trail of Qin. By pure coincidence Wei Wei, the daughter of Tianjiao, becomes a key figure in the event. The shots 20 years ago have altered their lives, and their paths will cross again as Jiang goes after Qin. Secrets long buried begin to surface, as the past returns to haunt the present. The towering boulders and steep cliffs along the raging Yellow River bear witness to crime and punishment as well as bravery and honor. This time, old scores will be settled, and it'll be an event that Wei Wei will never forget.",Crime,movie,Father and Hero,Father and Hero,0,2018,\N,102,"Crime,Drama"
tt8526312,"Storytelling the tussle between 'Sustainability' & 'Development' in context of rural India, film 'Spring Thunder' narrates the story of a Uranium mining tender at the highest plateau of India, enriched with thick forests and populated by various native communities. Starting from conflict of policy-makers, to crime, money, politics, and rage at the local level concerning land acquisition to universal environmental concerns. The selfish political inadequacy leads the local tribes to unite and retaliate for the survival of their existence, and the existence of forests there. In a time frame where scientific communities across the globe are continuously raising alarm about the environment and the health of the Planet Earth, 'Spring Thunder' reinforces this global concern through the drama and the plot of the story. The film showcases the exotic natural beauty of the Chotanagpur plateau in India and the culture, emotions, values and concerns of the local communities. The film aspires to bring the crude reality of the situation to the world as a way of awareness, sensitisation and rebel.",Crime,movie,Spring Thunder,Spring Thunder,0,2018,\N,113,"Crime,Drama"
tt8467036,"A young lawyer takes extreme measures as he vies for a promotion, while his fiancée's life begins to unravel after she meets someone new.",Crime,movie,Through the Blinds,Through the Blinds,0,2018,\N,70,"Crime,Drama,Thriller"
tt8426906,A photographer comes face to face with forces that threaten her road to redemption.,Crime,movie,At Road's End,At Road's End,0,2018,\N,80,"Crime,Drama,History"
tt8386758,"Efe heads to South Africa on the invitation of an admiring business mogul. A vacation to paradise. She gets caught up in the high octane drug and crime battles for supremacy raging among the Cape Town underground. As the gangs fight from the surf soaked beaches, the picturesque wine estates, to the famous table mountains, the stakes gets higher and body counts starts rising, betrayal becomes the currency for seeing the next day, can she, an innocent lamb amidst brutal wolves negotiate her steps to survival and the love of her life.",Crime,movie,SA Girl,SA Girl,0,2018,\N,\N,Crime
tt8368304,Sanitary of psycho-neurological dispensary for mentally ill prisoners becomes a hostage of this institution. His consciousness refuses to accept the fact that four more persons have settled in it. The investigative authorities imputed to him the commission of terrible acts and only the doubts of his treating psychiatrist separates him from the life imprisonment within the walls of the dispensary.,Crime,movie,Trudno byt Van Gogom,Trudno byt Van Gogom,0,2018,\N,165,"Crime,Drama,Mystery"
tt8326634,"Five female prisoners in a Nazi camp are facing a tough choice on the eve of escape. If they don't find and give away the murderer, they will all die on the gallows pole...",Crime,movie,Six,Six,0,2018,\N,68,"Action,Crime,Drama"
tt8289020,"One day a female journalist received information that a suspicious taxi was discovered and together with the coverage team chased the killer taxi. Consequently, all of them went missing and the incident was left unsolved without any clues... This movie based on the true creepy event!",Crime,movie,Midnight Taxi Madness,Midnight Taxi Madness,0,2018,\N,62,"Crime,Horror,Mystery"
tt8288798,"A gangster nicknamed Monster, while hiding away from troubles, ran into a recluse with whom he locked horns. He finally decided to murder the Recluse in order to test whether the latter could become his mentor. The story epitomizes the contemporary overall confusion and frustration in belief.",Crime,movie,Dilapidation,Dilapidation,0,2018,\N,101,"Crime,Drama"
tt8231548,"An ex-cop turned private Investigator struggles to put together the pieces of a new case, but with each clue he finds trouble seems to follow.",Crime,movie,Without Fear,Without Fear,0,2018,\N,46,"Action,Crime,Drama"
tt8226508,"In ""Kottayam"", a woman police officer is found raped and murdered. Political machinations force the investigating team to act in a manner which denies justice to the family. The search for the culprits takes the investigation team to the border lands of India and China.An investigation follows the rape and murder of a police woman. A wealthy but dysfunctional Christian family, belonging to the landed gentry of the area, gets accused as the primary motivators behind this crime.Through the investigation, the audience becomes witness to stories of love, lie, honor and greed of the family members. The investigation, though non-conclusive, slowly progresses on a journey from sleepy hills of the Kottayam to the brooding border areas of India and China, where some the characters end to be pawns in a more pressing issues the nation is facing.",Crime,movie,Kottayam,Kottayam,0,2018,\N,100,"Crime,Drama,Romance"
tt8209878,"North Korea 's female elite agent 'JIWON', undercover as a police officer in South Korea. One day she receives, an important mission of delivering 'important thing(a KIM IL-SUNG badge!)' to North Korea. However, she loses the 'important thing' on the way to North Korea. Now, she is get in the worst situation where she cannot go north and also south in a deep forest near the DMZ. At the same time, two female serial killers who came to hide the body in the forest appear in front of her. An encounter between a female spy and two female killers. What is their fate?",Crime,movie,Dust Angel,Dust Angel,0,2018,\N,78,"Action,Crime,Thriller"
tt8156898,"Since he is unemployed, Julian is a real house-husband taking care of his daughter with love. He took on debts without telling his wife. To get out of it, he will improvise as an outlaw.",Crime,movie,Beating Heart,Beating Heart,0,2018,\N,85,"Comedy,Crime,Drama"
tt8061078,when law doesn't exist everything is permitted.,Crime,movie,Man,Man,0,2018,\N,98,"Action,Crime,Drama"
tt8047066,"Set in a grungy milieu, Four friends who share a bachelors hostel room land into trouble with a local politician's son and all his henchmen are behind them. Sachindi Ra Gorre which is in the crime-comedy genre, has a soul of its own with its unique characters and situations. The Telengana dialect used blends with the setting and the dialogues range from the hilarious to laugh-out-loud moments. The humour is situational and, though there is a lot of mayhem happening, there is absolutely no space for slapstick. This is probably the first film with indie sensibilities in tollywood.",Crime,movie,Sachindi Ra Gorre,Sachindi Ra Gorre,0,2018,\N,\N,"Comedy,Crime"
tt8006034,Set in a post apocalyptic world beset with statewide shutdowns . Veteran detectives are dispatched to investigate a routine homicide and unknowingly find themselves in a widespread epidemic of citizens being taken by mysterious person or persons for reasons unknown .,Crime,movie,Squatters,Squatters,0,2018,\N,102,"Crime,Horror,Thriller"
tt7953652,"Judas Levi, a famous film director, who has recently busted out of the closet and traumatized by financial ruin, takes scalpel to Hollywood sleaze filming a group of homeless people on the streets of Hollywood. Traumatized by financial ruin after the collapse of his career, Judas returns to his former documentary days and begins to follow a group of transients on the edge of obscurity. Realizing that life is cheap in the world of these worthless throwaways, he begins to replace his objectiveness with calculated mayhem, reshaping reality into a near-perfect vision of chaotic, evil and inexpensive production values.",Crime,movie,The Bastard Son of Hollywood,The Bastard Son of Hollywood,0,2018,\N,105,"Comedy,Crime,Drama"
tt7947108,"Spiritual freedom is the real freedom, do you agree? A single father Li Yu and his autistic daughter Xiaoyu live a poetic life on an old town which colorful clouds often pass by. Father Li Yu has a lover, wine and dances. He also has a loyal dog buddy named Mumu, as well as the beautiful mountain views and velvety grassland. When Li Yu's daughter facing the bloody conspiracy, to save and to find are his bounden duties!",Crime,movie,Looking for Xiaoyu,Looking for Xiaoyu,0,2018,\N,92,"Crime,Drama,Family"
tt7946562,"Velma is a down and out waitress who loves to sing. She learns that she must raise $50,000 to save the bar she loves. With loan sharks at her door, will she save her legacy?",Crime,movie,Velma is Living,Velma is Living,0,2018,\N,82,"Adventure,Crime,Music"
tt7882096,A star-crossed romantic love story of an ill-fated girl Paru who falls in love and eventually get married to a TV anchor Shivu who is coincidentally her lover from the past life who gets killed. Paru kills herself to join her dead husband.,Crime,movie,Shivu Paru,Shivu Paru,0,2018,\N,135,"Crime,Drama,Fantasy"
tt7838260,"PADDAYI is the story of Madhava and Sugandhi. They are a newly married couple from the fishing community in India. Driven by ambition, they bring upon them selves an epic tragedy.",Crime,movie,Paddayi,Paddayi,0,2018,\N,100,"Crime,Drama,Family"
tt7791060,"Malti Mhaske is accused of murdering her high class owner, Kavya. Tara is defending Malti against the state in the courtroom. In a case that is hard to win Tara brings forth the subdued mental state of a physically abused ""at the hands of her former caretaker"" Malti. As the case unfolds so do complexities of the lives of Malti and her owner.",Crime,movie,State vs. Malti Mhaske,State vs. Malti Mhaske,0,2018,\N,\N,"Crime,Thriller"
tt7782766,"The story of the greatest manhunt for Germany's most notorious child serial killer, Peter Kuerten who was responsible for sixty-eight crimes including nine homicides, thirty-one attempted attacks during 1913-1931.",Crime,movie,The Vampire of Duesseldorf,The Vampire of Duesseldorf,0,\N,\N,120,"Crime,History,Thriller"
tt7654144,"Daniel is a young and promising vice president in a multi-national financial corporation. He is also a playboy who plays with women's emotions. After he participated in a room escape game, the same nightmare enwinds him every night. Moreover, a number counting-back from 49 mysteriously appears on his arm. In his search for the girl's identity in his nightmares, Daniel experiences a tour to the underworld. He unravels the mystery behind the girl and his facial reconstruction 20 years ago. Finally, Daniel realizes where his deepest fears arise from. Who will survive and what will be left at the end?",Crime,movie,49 Days,49 Days,0,2018,\N,100,"Crime,Thriller"
tt7554880,"""There's a secret within every group"" Missed Take is a feature film about footage found on a crime scene after a group of film makers go to an abandoned barn to film a short film. The case is still open.",Crime,movie,Missed Take,Missed Take,0,2018,\N,83,"Crime,Horror,Mystery"
tt7395804,A group of career thieves plan to take down a racetrack in Los Angeles.,Crime,movie,Thieves,Thieves,0,2018,\N,\N,Crime
tt7281994,"Cool Cat is the Coolest Cat in the World. But Butch the Bully hates him and always tries to bully him, and Cool Cat shows kids how to win and be cool.",Crime,movie,Cool Cat Kids Superhero,Cool Cat Kids Superhero,0,2018,\N,88,"Action,Comedy,Crime"
tt7235666,"One brutal home invasion, five murders, two detectives and No Witnesses.",Crime,movie,No Witnesses,No Witnesses,0,2018,\N,\N,Crime
tt7207942,"A series of events leads to the demise of an underground Romanian gang. In the midst of the chaos, unintentional partnerships seem to form.",Crime,movie,Kingspin,Kingspin,0,2018,\N,\N,Crime
tt7160054,"The violent film portrays the Taiwanese mob's code of ethics and hidden rules then its clash with personal morality. It explores the dark and miserable prison and tells the story of four different women Xiao-Yi, Qin, Scar and Da-Li who were all miserably stuck in violent corruption. Xiao-Yi raised by her desperate father after her mother left. When she was 18 years old, her father committed suicide by jumping off a tall building due to mental break down and gambling debts. Countless frustrations all her life made Xiao-Yi nearly crushed. Xiao-Ji grew up without parents and never had any real friends. His only refuge, his grandmother, raised him single handedly but accidentally died one day when the loan shark took illegal action to collect money on the street. He lived a lonely and desperate life until Xiao-Yi walked into his life. However, Xiao-Yi had no choice but to kill her boss after her father died and left a stack of gambling debts unpaid. Xiao-Ji is helpless to do anything, seeing the woman he loves arrested and charged with murder. Xiao-Yi was sent to prison for murder and gradually established friendship with Qin in order to fight against the vicious power of Scar and Da-Li, the brutal ""big sisters"" in jail. Qin took care of Xiao-Yi because Xiao-Yi reminded Qin of her little sister. As Xiao-Yi became Qin's protege, she learned the prisoner's trade. However, Xiao-Yi soon discovered that in this violent world things weren't always what they seemed. When Da-Li's participation in the drug trade was discovered expectedly by Qin, the fragile balance over the prison's turf was threatened. Their sisterhood was tested, and loyalty is questioned. Could Xiao- Yi be able to put her past behind her and begin a new, quiet life with Xiao-Ji after she was brutalized by the experience of being in prison? Can Xiao-Yi's love prevail even if it comes to the worst?Four different women, Xiao-Yi, Qin, Scar, and Da-Lai are miserably stuck in violent corruption from their families. Xiao-Yi met with adversities after her father committed suicide and left gambling debts. Xiao-Ji, an orphan, later finds happiness in the love of Xiao-Yi. Two desperate youngsters fell in love over the years. And more obstacles are waiting for them.",Crime,movie,Lonely Memory,Lonely Memory,0,2018,\N,120,"Crime,Drama"
tt6896826,"A dark comedy about a disgraced runner forced into the race of his life; a race for the lives of others, each result representing a roll of the dice and a new way not to die. We Came To Wreck Everything pits cheating gangsters against crooked cops, ex-soldiers against their ex-wives' lovers, and fallen families against families about to fall, all in a race not to the light, but out of the darkness.",Crime,movie,We Came to Wreck Everything,We Came to Wreck Everything,0,2018,\N,\N,Crime
tt6487642,"Intrusion is a fast cop-drama that shows how a regular ""Joe"" can accidentally get entangled in the city's biggest drug operation. We follow his story as he is held prisoner by ruthless mercenaries who want nothing but total control by using Joe as a pawn. Meanwhile, the LAPD has two of their best detectives on the case who are picking up the pieces and solving the puzzle along the way.",Crime,movie,Intrusion,Intrusion,0,2018,\N,\N,Crime
tt6214076,"Mary is the conniving wife of a well-known televangelist who goes by the moniker ""John the Preacher"". Facing divorce with meager financial settlement, she partners with his mistress, Ginny, to rob JP of his cash fortune and split the loot. When they discover him dead from a gunshot wound to the head, their scheme starts to unravel piece by piece. Through a clever cover-up, his murder was ruled a suicide by the NYPD, but a crooked cop has other plans. When their attempt to pay off the detective backfires, a series of events unfold that reveal how the real perpetrators left them all outwitted and put out to pasture. Through a cast of offbeat characters and eccentric cameos, the story of one man's life and death takes twists and turns through the murky glint of a cocktail glass.",Crime,movie,Deadman's Barstool,Deadman's Barstool,0,2018,\N,\N,"Comedy,Crime"
tt6181262,"When a team of scientists on the verge of a medical breakthrough are mysteriously murdered, two agents must protect the remaining survivor while trying to unravel the plot behind the assassinations.",Crime,movie,Double Blind,Double Blind,0,2018,\N,\N,Crime
tt5933040,"The Composer - a dark Parody about a kidnap that goes wrong.An abduction story that begins with extreme ideology and ends with passionate vengeance and destruction. Sarah, Muhamad's former Jewish lover, sets her mind, under a false political pretext, to abduct Muhamad and to avenge her humiliated and raged broken heart. Sarah, With the assistance of Yonatan, the psychopathic, right-wing radical and Ehud, an outsider, that his life goals are to be excepted by society and to find a woman to marry, kidnap Muhamad to a remote house. On the surface, it seems that for the three, the purpose of the abduction is to extort an olive grove as a ransom from Muhamad's family. But things aren't as they seem. Each and every one of them have a different plan of what to do with Muhamad. Sarah wants revenge. Ehud wants to please Sarah and by that to gain her heart and Yonatan is after fulfilling his dream of joining a right wing extremist organization. So extreme that it doesn't even exist. As time goes by. many questions rise as the plot branches and thickens. Muhamad understands that his only way out of this situation is to become friends with his abductors. But which one of the three?",Crime,movie,The Composer,The Composer,0,2018,\N,90,"Comedy,Crime,Drama"
tt5784346,The sequel to the upcoming film Fury of the Dragon.,Crime,movie,Revenge of the Dragon,Revenge of the Dragon,0,\N,\N,\N,Crime
tt5725010,"A detective is investigating a murder series, and he is torn between the case and family problems. Being a tough, intelligent officer, he sets out on a mission to find the serial killer responsible for the murders. The method used by the suspect is inspired by mind control and hypno-programming. Suspects are unable to consciously control their thoughts and actions at the time the crimes were being committed.",Crime,movie,Ethirmarai,Ethirmarai,0,2018,\N,90,"Crime,Thriller"
tt5487854,A hard time criminal gets caught in a whirlwind of killing with his lunatic partner.,Crime,movie,Professor Thompson,Professor Thompson,0,2018,\N,\N,"Action,Crime"
tt5471472,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.",Crime,movie,The Brawler,The Brawler,0,2018,\N,95,"Biography,Crime,Drama"
tt5355410,A dark side of India's Nuclear Programme,Crime,movie,Guilty Not Guilty,Guilty Not Guilty,0,2018,\N,\N,"Crime,Thriller"
tt5086770,"A musically gifted teenage girl from New Orleans' 9th Ward is torn between family loyalty and doing what she knows is right after discovering her older cousin has become a violent criminal.Aurora Williams is a 17-year-old girl living with her parents in the New Orleans neighborhood known locally as the 9th Ward. A talented young pianist, Aurora is on the verge of leaving for college to study music when she discovers her cousin Tyrell is responsible for a heinous high-profile murder. Soon, Aurora faces a dire conundrum - turning Tyrell in is obviously the proper thing to do, but societal conventions and family loyalties complicate an already tense situation... Nobody wants to be branded ""a snitch"" in the tight-knit community of the 9th Ward. With a large reward at stake and the police closing in on Tyrell, Aurora must decide if she is willing to risk the safety of her family in order to do what is right.",Crime,movie,A Quiet Storm,A Quiet Storm,0,2018,\N,96,"Crime,Drama,Family"
tt4857736,"When an ordinary poker night is hijacked by an unwelcome guest in search of his missing money, five friends reveal secrets of betrayal as the night turns violent and the ante is raised to life or death.",Crime,movie,All In,All In,0,2018,\N,82,"Crime,Drama,Thriller"
tt4660378,"Traumatized and disillusioned by the death of her partner, an alcoholic Private Detective must pull herself together as she is drawn into investigating a mob hit - which threatens to ignite an all out war on the streets.Traumatized and disillusioned by the death of her partner, an alcoholic private detective named Crimson DeWitt must pull herself together as she is drawn into investigating a mob hit that threatens to ignite an all-out war on the streets. All the while, she tries to balance being sober enough to work, with being drunk enough to cope.",Crime,movie,Crimson Noir,Crimson Noir,0,2018,\N,95,"Action,Crime,Mystery"
tt4625030,"Richard is a writer who travels from New York City to Detroit, Michigan to complete an overdue novel. Although he is under increasing pressure from his publisher, Richard's daydreaming is preventing him from completing the story. A month into his trip he is encouraged by his best friend, Karl, to take on the persona of one of his characters in order to come up with an exciting novel to submit to his publisher. Richard runs into a major problem when he meets a beautiful Latina woman named Alexandra and lies to her about being a high-roller while he's ""in character."" He finds himself in the middle of a gambling ring run by local gangsters and is forced to ""Be Somebody"" else in order to get himself out of the situation, but he quickly learns that he isn't the only unfortunate soul in the cross-hairs of a local syndicate.",Crime,movie,Be Somebody,Be Somebody,0,2018,\N,90,"Action,Crime"
tt4525058,Two men must deal with a group of criminals after accidentally killing one of them.,Crime,movie,Gowpen Hurdle,Gowpen Hurdle,0,2018,\N,\N,"Comedy,Crime,Drama"
tt4033204,"Struggling with his new life in New Orleans, Clive follows Trevor, a former professor to his country home on the bayou to gain a new perspective. While Trevor helps Clive deal with his demons, Clive is sucked into a mission to kill.",Crime,movie,Cut Off,Born Again Dead,0,2018,\N,\N,"Crime,Drama,Thriller"
tt3976028,"In a small California town 78 miles from LA is where a celebrities worst nightmare comes to life.In a small California town 78 miles from LA is where a celebrities worst nightmare comes to life. This is where New York Times best selling author Jordan Bradley resides. Jordan quickly finds out he is a direct target from a sadistic killer, but only if he writes a sequel to his number one hit ""Romeo's Dream."" Jordan, along with his best friend Matty, and his trans-gendered ex best friend Dani, are anything but safe in this guessing til the end, edge of your seat, cat and mouse horror film with a ending that will leave you speechless.",Crime,movie,The Pretty of Nothing,The Pretty of Nothing,0,2018,\N,105,"Crime,Horror,Mystery"
tt3918784,"An orphan adopted by her former village school teacher seeks to reveal the truth behind the criminal activities of an elderly international gangster who has initiated a heinous business enterprise focused on Ethiopia. SPOILER ALERT.""Mission"" is an intriguing story focusing on the mysterious contemporary enterprise of James, an elderly European racketeer infamous for decades of illegal enterprise, including such activities as gun-running and smuggling, throughout Africa with principal focus on Ethiopia. The story unfolds as the memoirs of an Ethiopian orphan who was adopted, at an early age, by a foreign school teacher in her village; now, an adult ex-soldier, Lucy seeks revenge for the brutal murder of her adoptive mother. Other important character-driven relationships are introduced as the plot unfolds: e.g., the generational schism between James, his son and his grandson; and Taffere, a renowned Ethiopian Chief of Police and his wife, Enatnesh, who initiates her own investigation into the events implicated in the death of her son.Infamous for his long career smuggling weapons, drugs and diamonds throughout Africa, an elderly international gangster has initiated a new business enterprise focused on Ethiopia. SPOILER ALERT: As the film nears its conclusion, the true nature of that business enterprise is revealed. Although ""Mission"" is a fictional narrative, it functions essentially as a public service announcement awaking the audience to one of contemporary society's most heinous of crimes.",Crime,movie,Mission,Mission,0,2018,\N,98,"Crime,Drama,News"
tt3596374,"John Faust, a guilt driven detective, is offered a pact by the demon of vengeance. John Faust's lover is trapped in Hell. If he kills three serial killers using their own signature styles, he will be granted access to Hell to set her free.",Crime,movie,John Faust,John Faust,0,2018,\N,\N,"Crime,Horror,Thriller"
