tconst,convert_text,genres
tt6487642,intrusion fast copdrama shows regular joe accidentally get entangled city biggest drug operation follow story held prisoner ruthless mercenaries want nothing total control using joe pawn meanwhile lapd two best detectives case picking pieces solving puzzle along way,Crime
tt6214076,mary conniving wife wellknown televangelist goes moniker john preacher facing divorce meager financial settlement partners mistress ginny rob jp cash fortune split loot discover dead gunshot wound head scheme starts unravel piece piece clever coverup murder ruled suicide nypd crooked cop plans attempt pay detective backfires series events unfold reveal real perpetrators left outwitted put pasture cast offbeat characters eccentric cameos story one man life death takes twists turns murky glint cocktail glass,"Comedy,Crime"
tt6181262,team scientists verge medical breakthrough mysteriously murdered two agents must protect remaining survivor trying unravel plot behind assassinations,Crime
tt5933040,composer dark parody kidnap goes wrongan abduction story begins extreme ideology ends passionate vengeance destruction sarah muhamad former jewish lover sets mind false political pretext abduct muhamad avenge humiliated raged broken heart sarah assistance yonatan psychopathic rightwing radical ehud outsider life goals excepted society find woman marry kidnap muhamad remote house surface seems three purpose abduction extort olive grove ransom muhamad family things nt seem every one different plan muhamad sarah wants revenge ehud wants please sarah gain heart yonatan fulfilling dream joining right wing extremist organization extreme nt even exist time goes many questions rise plot branches thickens muhamad understands way situation become friends abductors one three,"Comedy,Crime,Drama"
tt5784346,sequel upcoming film fury dragon,Crime
tt5725010,detective investigating murder series torn case family problems tough intelligent officer sets mission find serial killer responsible murders method used suspect inspired mind control hypnoprogramming suspects unable consciously control thoughts actions time crimes committed,"Crime,Thriller"
tt5487854,hard time criminal gets caught whirlwind killing lunatic partner,"Action,Crime"
tt5471472,bayonne new jersey underdog boxer gets shot fight champ,"Biography,Crime,Drama"
tt5355410,dark side india nuclear programme,"Crime,Thriller"
tt5086770,musically gifted teenage girl new orleans th ward torn family loyalty knows right discovering older cousin become violent criminalaurora williams yearold girl living parents new orleans neighborhood known locally th ward talented young pianist aurora verge leaving college study music discovers cousin tyrell responsible heinous highprofile murder soon aurora faces dire conundrum turning tyrell obviously proper thing societal conventions family loyalties complicate already tense situation nobody wants branded snitch tightknit community th ward large reward stake police closing tyrell aurora must decide willing risk safety family order right,"Crime,Drama,Family"
tt4857736,ordinary poker night hijacked unwelcome guest search missing money five friends reveal secrets betrayal night turns violent ante raised life death,"Crime,Drama,Thriller"
tt4660378,traumatized disillusioned death partner alcoholic private detective must pull together drawn investigating mob hit threatens ignite war streetstraumatized disillusioned death partner alcoholic private detective named crimson dewitt must pull together drawn investigating mob hit threatens ignite allout war streets tries balance sober enough work drunk enough cope,"Action,Crime,Mystery"
tt4625030,richard writer travels new york city detroit michigan complete overdue novel although increasing pressure publisher richard daydreaming preventing completing story month trip encouraged best friend karl take persona one characters order come exciting novel submit publisher richard runs major problem meets beautiful latina woman named alexandra lies highroller character finds middle gambling ring run local gangsters forced somebody else order get situation quickly learns nt unfortunate soul crosshairs local syndicate,"Action,Crime"
tt4525058,two men must deal group criminals accidentally killing one,"Comedy,Crime,Drama"
tt4033204,struggling new life new orleans clive follows trevor former professor country home bayou gain new perspective trevor helps clive deal demons clive sucked mission kill,"Crime,Drama,Thriller"
tt3976028,small california town miles la celebrities worst nightmare comes lifein small california town miles la celebrities worst nightmare comes life new york times best selling author jordan bradley resides jordan quickly finds direct target sadistic killer writes sequel number one hit romeo dream jordan along best friend matty transgendered ex best friend dani anything safe guessing til end edge seat cat mouse horror film ending leave speechless,"Crime,Horror,Mystery"
tt3918784,orphan adopted former village school teacher seeks reveal truth behind criminal activities elderly international gangster initiated heinous business enterprise focused ethiopia spoiler alert mission intriguing story focusing mysterious contemporary enterprise james elderly european racketeer infamous decades illegal enterprise including activities gunrunning smuggling throughout africa principal focus ethiopia story unfolds memoirs ethiopian orphan adopted early age foreign school teacher village adult exsoldier lucy seeks revenge brutal murder adoptive mother important characterdriven relationships introduced plot unfolds eg generational schism james son grandson taffere renowned ethiopian chief police wife enatnesh initiates investigation events implicated death soninfamous long career smuggling weapons drugs diamonds throughout africa elderly international gangster initiated new business enterprise focused ethiopia spoiler alert film nears conclusion true nature business enterprise revealed although mission fictional narrative functions essentially public service announcement awaking audience one contemporary society heinous crimes,"Crime,Drama,News"
tt3596374,john faust guilt driven detective offered pact demon vengeance john faust lover trapped hell kills three serial killers using signature styles granted access hell set free,"Crime,Horror,Thriller"
tt3254614,clipped wings fly featurelength suspense movie loosely based novel name william michael barbee movie highlights life lead character billy ray michaels billy ray suffers multiple personality disorder compounded schizophrenia finds trial murder crime remember committing billy ray entangled world confusion unbeknownst created story told eyes people billy ray came contact including sister jenna potential boss mr greene son mother katrina crossexamined state prosecution team lead arrogant prosecutor toby johnson witness stand tells different encounter defendant billy ray slowly able put pieces together life help childhood psychotherapist dr shelly neiderbach billy sometimes delusional sits crowded courtroom unaware severity dilemma often found doodling journal created noteworthy poetry used defense team fight freedomthis physiological thriller based cocky state prosecutor toby johnson jd williams whos challenged conscious prosecute case billy ray michaels usman sharif diagnosed multiple personality disorder billy ray finds trial crime dosent remember committing district attorney adam stevenson bill duke manage overly confident toby hes also pressured zealous mayor goode frankie faison win case toby reluctantly seeks advice father retired judge johnson bill cobbs billy rays psychotherapist dr neiderbach jen bergum struggles keep hidden past client film brings awareness people mental illness,"Crime,Drama"
tt2647424,young man learns relinquish responsibility things beyond control concentrate things,"Crime,Drama"
tt10465998,imposible mission quest become mightier greater christian circle motivated lot pastors join dark circle confraternity,"Action,Crime,Drama"
tt10212512,bitter truth society actually exist visible whereas visible appear behind every successful person someone psycho psychic hisher choice movie bedaad attempt smash mask faces people,"Crime,Thriller"
tt9357404,lea disturbed teenager copes depression bullying best constantly butting heads single struggling mother driven bad group called friends witness murder finds cornered fiercly fighting life tried take many times,"Crime,Drama,Thriller"
tt7165212,tense months following miscarriage unemployment spell things finally looking sean kevin sizemore lisa miller elizabeth harnois sean lands dream job advertising firm sean assistant jen cerina vincent selfproclaimed work wife begins vying affection soon becomes clear stop nothing rip marriage apart claim,Crime
tt8649454,ace conman uttam effortlessly thinks schemes swindle gullible greedy folks however rare occasion things nt go according plan ends clutches ruthless gang demand schemes money,"Crime,Thriller"
tt1255919,humorous take sir arthur conan doyle classic mysteries featuring sherlock holmes doctor watson,"Comedy,Crime,Mystery"
tt7194318,bodies undercover las vegas detectives begin turning around city holiday season detective matt striker matthew bonesteel unstable recent loss assigned case begins flirting notion leak within department blame shifts quickly one quite sure detectives innocence isolates becoming obsessed case sometimes bending law achieve outcomes time three hit men cody angelo chris kulikowski sloan hickson struggle locate last undercover officer,"Comedy,Crime"
tt6867770,waking coma stanton searches answers church remembers journey took sleep find god save wife demons save friend making mistake local drug dealer could cost life able save demons metaphor,"Crime,Horror,Thriller"
tt6786730,two half brothers one affected autism schizophrenia american friend set getting lives back together inexperienced group thugs violates peace takes hostage,Crime
tt6094986,roadside motel adjoining rooms four guests writer monk whore thug dispute sex quarrel murder beats,"Comedy,Crime"
tt6914542,set busan south korea lee doosam builds empire drug smuggler busan underworld public prosecutor kim ingoo attempts take lee doosam,"Action,Crime,Drama"
tt7855592,young writer fictional detective stories attempt solve mystery writers retreat,"Crime,Drama,Mystery"
tt8523334,nicky larson best private investigator business called highrisk mission recover perfume cupid perfume would make irresistible one uses,"Action,Comedy,Crime"
tt7642618,derrick extreme debt put drug game associate antonio,"Action,Crime,Drama"
tt7295378,robertico living curacao noella maduro preparing ask marry something happens ken maduro noella dad things go wrong noelle tells robertico wants timeout flies dad netherlands noella take fathers job hosting special auction together wealthy young man robertico finds also flies netherlands win noella help aunt judeska staff fc kip radjesh noltie kofi asian hustler ping ping hopes convince marry,"Action,Comedy,Crime"
tt8095860,three men friends childhood cross compare personal experiences question life couple family professionalfrancois ozon gripping drama follows three men band together dismantle code silence continues protect priest abused decades ago based events conviction cardinal philippe barbarin lyon concealing conduct father bernard preynat grace god compassionately illustrates varying effects trauma survivors families urgent portrait resistance power mobilization mysteries faith,"Crime,Drama"
tt7959026,yearold horticulturist korean war veteran turns drug mule mexican cartelclint eastwood stars earl stone man broke alone facing foreclosure business offered job simply requires drive easy enough unbeknownst earl signed drug courier mexican cartel well well fact cargo increases exponentially earl assigned handler nt one keeping tabs earl mysterious new drug mule also hit radar hardcharging dea agent colin bates even money problems become thing past earl past mistakes start weigh heavily uncertain time right wrongs law enforcement cartel enforcers catch peoria illinois korean war veteran earl stone ninety yearold horticulturist always prioritized work friends family estranged exwife mary daughter iris granddaughter ginny celebrating engagement fiance earl completely broke agrees become mule suspicion mexican cartel transporting drugs illinois chicago places alias tata makes money resolves many financial issues family friends meanwhile efficient dea agent colin bates charge investigating notorious cartel mysterious tata partner agent trevio,"Crime,Drama,Thriller"
tt2949654,pinnacle splendor himalayas sits kashmir valley one stunningly picturesque places earth today grandeur also become ubiquitous ravages terrorism counter terrorism operations circumstances anyone roaming hills would tell shocking truth combat soldiers statistically safer women calm melody idyllic villages disrupted abrasive sputter semiautomatic gunfire one neighborhood see aasma delicate young girl aasma heaven hell collide leader local village conceals four armed militants across border house due course notice young girl mesmerized delicate beauty overcome lust kidnap aasma leader reasons way suicidal terrorist attack probably last opportunity woman martyrdom aasmaa night torment unfolds one militants intekhaab shows signs regret knows islam permit cruelty woman presence armed hostility must find clever ways delay inevitable tight cramped quarters odds stacked intekhaab find way save assma different face socalled islamic terrorism emerge desperate plight aasma yet another faceless victim endless conflict four cross border terrorists one cleric one helpless girl confined abandoned military bunker picturesque himalayas night terror molestation murder gruesome acts ensues name holy war another jihad making another war zone conflict put shocking perspective aasmaroutine serenity kashmir village life matched routine gunshots punctuate calm embrace mountains aasma heaven hell collide four armed pakistani militants sneak border harbored local leader five men kidnap aasma one night rapacious intent leave dead move locations morning night torment agony unfolds one militants change heart presence armed hostility must find way delay inevitable find whatever means necessary save protect soul gunshots one one tormentors die aasma live see morning heavenly dew,"Action,Crime,Drama"
tt9641092,beautiful young spy moves back rural home solves mysteries help homeschooled childhood friendsbethany shanholtz beautiful young government operative moves back rural virginia hometown get away spy life townspeople start getting murdered government bosses convince investigate unofficially allowed use agency resources calls upon friends childhood homeschooled farm girl investigation quickly leads bethany exboyfriend jamie mystery surrounding sister mysterious death many years ago closer bethany gets answers murders seem related past town future,"Crime,Drama,Mystery"
tt2677722,russell poole jack jackson investigate murders rappers notorious big tupac shakur,"Biography,Crime,Drama"
tt9447662,inspector boro incorruptible nononsense cop highly skilled martial arts gets suspended bashing well connected gang traffickers superintendent police asks unofficially track girl named sabrina rai missing four days investigating learns someone taken village guwahati city pretext training hospitality industry trying track inspector boro finds phone switched missing hostel heads guwahati punches kicks way uncomfortable truth sabrina might entangled trafficking ring run corrupt policeman,"Action,Crime,Thriller"
tt6964844,woman checkered past must protect son man brings trouble isolated bed breakfast,"Crime,Drama,Thriller"
tt9426186,former police investigator decides go prison island revenge brutal killings family,"Action,Crime,Thriller"
tt9866700,young man becomes possessed playing ouija game ghost hunter investigates evil spirit dwelling within,"Horror,Thriller"
tt9816310,feature length black science fiction horrorfantasy anthology,"Fantasy,Horror,Sci-Fi"
tt9764972,according ancient tradition one central iran village faced intensive drought village elders decide perform tradition qanat bride,Horror
tt9586350,aimee andrews deals grief anxiety violent attack,"Horror,Sci-Fi"
tt9536636,bikers check vampires check boobs double check else need,Horror
tt9423080,group misfit kids get together recently put alternative school decide going runaway hold local haunted woods strange things start happening one one begin disappearing,Horror
tt9408030,recut version ghosts hanley house removes footage contains plot holes original replaces newlyshot material,Horror
tt9346636,truth follows story penny wise loved revered clown fell victim stephen king demonization whole self documentary team follows life story hopes clearing innocent name,Horror
tt9289116,story first date gone wrong,"Comedy,Horror"
tt9252028,pair awkward cops dimwit interns investigate series murders,"Action,Comedy,Drama"
tt9155002,virus breaks cartelcontrolled city turns people violent bloodthirsty maniacs military teams dispatched evacuate residents quickly become trapped violent criminals army undead last ditch effort cartel army join forces order fight way city infected stop,Horror
tt9125468,man woman compelled mysterious higher power lose,"Drama,Horror,Sci-Fi"
tt9106456,psychology student severe fear alone imprisons house one night face fears fears unreal,Horror
tt9095224,halloween way halloween horror special vol ii seat take journey physiology thriller take world frightening devastating fears,Horror
tt9085536,syd retired fx directorhis relevant work extraterrestrial creature vecino film mixed fantasy plot historical attacks committed spanish terrorist movement eta somebody preparing remake,"Comedy,Drama,Horror"
tt9056988,emmy lives uk comes india organise real life game game launched india players states participate win rs crore three young boys two beautiful girls become part game emmy stays ancestral bungalow realises watched someone later finds participants dying one one mystery unfolds two participants alive order safe two consults paranormal expert close father reveals daughter raped last birth daughter last birth takes revenge raped killed later finally emmy rohan could save participant shruti,"Horror,Mystery,Thriller"
tt9024942,callous psychological horror movie takes place inside head girl coma keeps one nightmare another results death every time every nightmare gets understand happening happening coma accident planned beginning movie minutes long original story written directed iraqi author amin filmed cast crew world including america china russia mauritius somalia course iraq done independent company prismal entertainment created amin,Horror
tt9000546,people begin attack others without apparent reason streets brazil generating chaos causing complete breakdown society know nobody knows addicts crazy zombies extraterrestrials survivors hiding waiting rescue film shows last moment characters without ever showing causing panic,"Horror,Mystery,Thriller"
tt8993694,young man sleeps living giving surplus sleep unstable violent tv executive experiences breakdown real life dreams television actress small screen enters real life,"Comedy,Horror,Thriller"
tt8973954,woman awakens remote location news world knows ended adjusts new reality events unfold details emerge may suggest otherwise,"Horror,Thriller"
tt8933716,wealthy rural cambodian groom bol falls love bride rah whose reaction arranged marriage unfolds series bizarre incidents leave everyone believing must possessed,Horror
tt8865770,unknown otherworldly force stalks three friends weekend getaway,"Drama,Horror,Sci-Fi"
tt8865106,depressive jewish novelist spirals madness suffers writer block attempting pen second novel,"Comedy,Drama,Horror"
tt8718116,group naive summer camp counselors hunted vicious psychopath,Horror
tt8708174,genrebending operatic cinema featuring classical music pieces psychological horror feature tells story young couple issues confronted unexpected pregnancy film explores love romance changing gender roles themes power control,"Drama,Fantasy,Horror"
tt8665788,homanand sincere man works hard fulfill father dream buying house great efforts hard work finally pools enough money buys house days comes know ghostly creature house trying scare property,Horror
tt8649570,feature film adaptation citizen normal awardwinning series centered cynical serial killer,"Drama,Horror"
tt8640242,greatest horror film ever made never experienced nosferatu reanimated,"Animation,Horror"
tt8618714,gary first day homeless encounters intriguing stranger demonic destiny realizes sometimes got ta go order rise upon gary first day homeless delves new situation charming resilience attempt urban homesteading inspiring absurd creative financing name sunnyd mysterious goth girl tara inadvertently leads dreamlike world sinister forces truly challenged realizes sometimes got ta go order rise gary underworld superstylish nodialogue feature speaks awesome original soundtrack immersive imagery tell tale human kindness addresses grapples assumptions make means,"Drama,Fantasy,Horror"
tt8542864,friends enemies one thing common mark leaves girlfriend natasha girl truly loves brother andrew comes relationship willing sacrifice adheres andrew manipulations keeping natasha ignorant deeds takes series violent necromantic events thus leading purpose much darker scheme ultimately natasha knows love cure,"Drama,Horror"
tt8542722,woman faces staying remote family house deep forest first time child vanished woods four years ago,"Drama,Horror,Thriller"
tt8493136,severely injured man woman awake abandoned sanitarium discover sadistic caretaker holds keys freedom horrific answers real identity,"Horror,Thriller"
tt8489728,trippy trip based different dimensions life happens different timelines clashes time illusion sound car put halt ring mobile bell come across annie beautiful independent girl hearing annie talk phone mother understood worked unaware waiting behind closed door house kunal boyfriend waiting side already trip begin trip starts fresh beginnings hostage shady dingy forbidden village experience turns scarier spookier breathes taking hereon spooky events add bit bit gathering courage annie surveys situation petrifies effort escape leads understand locked inside,"Horror,Mystery,Thriller"
tt8477884,based true story student found dead courtyard country house brittany france jumped window neighbours said possessed,Horror
tt8472870,year meteor strike wipes half population earth turns remainder zombies doctor martha king small group survivors must find cure time runs,"Action,Comedy,Horror"
tt8470356,jay tanner crew getting rich faking demon hunts posting youtube unfortunately jay crew demon hunt turns real,Horror
tt8458716,adventurous professional venture deep forest wildlife photography ends experiencing lifechanging adventure,Horror
tt8434266,hope celestial travels world helping people need definitely angel though,"Horror,Mystery,Thriller"
tt8389598,mentally deranged maniac stalks victims fulfill drug addiction sedate psychosis becomes victim unexpected invasion undead prototype film used present future larger production,"Horror,Thriller"
tt8359620,believe ghosts one time nt believed,Horror
tt8355868,terminally ill man spends last days coping death awakens monster,"Drama,Horror,Thriller"
tt8332878,david pace linearminded brainiac awakened terrifying body experience obsessively tries come grips maze media philosophy medicine sex propelling life dizzying downward spiral,"Fantasy,Horror,Sci-Fi"
tt8302502,nethra nt believe love decides marry guy father choice nethra always dreams man meets murdering girl one day meets man wild dreams real life startled existence happens next spooky story unfolds revealing series horrifying secrets,"Horror,Mystery,Thriller"
tt8287434,undead former militia soldiers indestructible snipers widow goes looking body husband comes across corpse wants end new unjust life,Horror
tt8246150,pair documentary filmmakers stranded mountains film crew making sequel favorite horror film,Horror
