username,text,genre
tt8742576,"An unfinished youth with no special features, comes to a place, rents a cheap rental house, and lives there alone. Later, he was attacked and mistreated by a group of unknown people nearby. Finally, his spirit is close to collapse... He sealed himself in the room. Later, the landlord came to open the room, the chamber was still intact, but there was no one in it. There are some cruel and evil things happened... This is an unscrupulous movie!",Crime
tt8709364,A stand up comedian with a brutal alter-ego is interrogated by police about the contents of his hard drive.,Crime
tt8685842,"Derrick Baker aka Lucky, just might be the unluckiest man in America. Nothing he tries ever works, jobs, relationships and especially making money. Staying true to form, the only one night stand he ever had goes terribly wrong and he has to pay big for it.",Crime
tt8651728,An old man tries to recover his memory. A woman wants to find her daughter. A sinister world awaits them.,Crime
tt8585488,"A stranger comes to a small town and sets into motion a series of events that would affect the lives of those who live there, including the nefarious Neo-Nazi gang that runs it's criminal underworld.",Crime
tt8530898,"The story is set against the backdrop of the middle reaches of the Yellow River and Jin-Shaan Grand Canyon. 20 years ago, while pursuing the ruthless criminal Qin Jin, a gun battle broke out between the outlaw and the police. Qin fled unscathed, whereas policemen Tianjiao was killed and Jiang Han was seriously wounded. 20 years later, Jiang is once again on the trail of Qin. By pure coincidence Wei Wei, the daughter of Tianjiao, becomes a key figure in the event. The shots 20 years ago have altered their lives, and their paths will cross again as Jiang goes after Qin. Secrets long buried begin to surface, as the past returns to haunt the present. The towering boulders and steep cliffs along the raging Yellow River bear witness to crime and punishment as well as bravery and honor. This time, old scores will be settled, and it'll be an event that Wei Wei will never forget.",Crime
tt8526312,"Storytelling the tussle between 'Sustainability' & 'Development' in context of rural India, film 'Spring Thunder' narrates the story of a Uranium mining tender at the highest plateau of India, enriched with thick forests and populated by various native communities. Starting from conflict of policy-makers, to crime, money, politics, and rage at the local level concerning land acquisition to universal environmental concerns. The selfish political inadequacy leads the local tribes to unite and retaliate for the survival of their existence, and the existence of forests there. In a time frame where scientific communities across the globe are continuously raising alarm about the environment and the health of the Planet Earth, 'Spring Thunder' reinforces this global concern through the drama and the plot of the story. The film showcases the exotic natural beauty of the Chotanagpur plateau in India and the culture, emotions, values and concerns of the local communities. The film aspires to bring the crude reality of the situation to the world as a way of awareness, sensitisation and rebel.",Crime
tt8467036,"A young lawyer takes extreme measures as he vies for a promotion, while his fiancée's life begins to unravel after she meets someone new.",Crime
tt8426906,A photographer comes face to face with forces that threaten her road to redemption.,Crime
tt8386758,"Efe heads to South Africa on the invitation of an admiring business mogul. A vacation to paradise. She gets caught up in the high octane drug and crime battles for supremacy raging among the Cape Town underground. As the gangs fight from the surf soaked beaches, the picturesque wine estates, to the famous table mountains, the stakes gets higher and body counts starts rising, betrayal becomes the currency for seeing the next day, can she, an innocent lamb amidst brutal wolves negotiate her steps to survival and the love of her life.",Crime
tt8368304,Sanitary of psycho-neurological dispensary for mentally ill prisoners becomes a hostage of this institution. His consciousness refuses to accept the fact that four more persons have settled in it. The investigative authorities imputed to him the commission of terrible acts and only the doubts of his treating psychiatrist separates him from the life imprisonment within the walls of the dispensary.,Crime
tt8326634,"Five female prisoners in a Nazi camp are facing a tough choice on the eve of escape. If they don't find and give away the murderer, they will all die on the gallows pole...",Crime
tt8289020,"One day a female journalist received information that a suspicious taxi was discovered and together with the coverage team chased the killer taxi. Consequently, all of them went missing and the incident was left unsolved without any clues... This movie based on the true creepy event!",Crime
tt8288798,"A gangster nicknamed Monster, while hiding away from troubles, ran into a recluse with whom he locked horns. He finally decided to murder the Recluse in order to test whether the latter could become his mentor. The story epitomizes the contemporary overall confusion and frustration in belief.",Crime
tt8231548,"An ex-cop turned private Investigator struggles to put together the pieces of a new case, but with each clue he finds trouble seems to follow.",Crime
tt8226508,"In ""Kottayam"", a woman police officer is found raped and murdered. Political machinations force the investigating team to act in a manner which denies justice to the family. The search for the culprits takes the investigation team to the border lands of India and China.An investigation follows the rape and murder of a police woman. A wealthy but dysfunctional Christian family, belonging to the landed gentry of the area, gets accused as the primary motivators behind this crime.Through the investigation, the audience becomes witness to stories of love, lie, honor and greed of the family members. The investigation, though non-conclusive, slowly progresses on a journey from sleepy hills of the Kottayam to the brooding border areas of India and China, where some the characters end to be pawns in a more pressing issues the nation is facing.",Crime
tt8209878,"North Korea 's female elite agent 'JIWON', undercover as a police officer in South Korea. One day she receives, an important mission of delivering 'important thing(a KIM IL-SUNG badge!)' to North Korea. However, she loses the 'important thing' on the way to North Korea. Now, she is get in the worst situation where she cannot go north and also south in a deep forest near the DMZ. At the same time, two female serial killers who came to hide the body in the forest appear in front of her. An encounter between a female spy and two female killers. What is their fate?",Crime
tt8156898,"Since he is unemployed, Julian is a real house-husband taking care of his daughter with love. He took on debts without telling his wife. To get out of it, he will improvise as an outlaw.",Crime
tt8061078,when law doesn't exist everything is permitted.,Crime
tt8047066,"Set in a grungy milieu, Four friends who share a bachelors hostel room land into trouble with a local politician's son and all his henchmen are behind them. Sachindi Ra Gorre which is in the crime-comedy genre, has a soul of its own with its unique characters and situations. The Telengana dialect used blends with the setting and the dialogues range from the hilarious to laugh-out-loud moments. The humour is situational and, though there is a lot of mayhem happening, there is absolutely no space for slapstick. This is probably the first film with indie sensibilities in tollywood.",Crime
tt8006034,Set in a post apocalyptic world beset with statewide shutdowns . Veteran detectives are dispatched to investigate a routine homicide and unknowingly find themselves in a widespread epidemic of citizens being taken by mysterious person or persons for reasons unknown .,Crime
tt7953652,"Judas Levi, a famous film director, who has recently busted out of the closet and traumatized by financial ruin, takes scalpel to Hollywood sleaze filming a group of homeless people on the streets of Hollywood. Traumatized by financial ruin after the collapse of his career, Judas returns to his former documentary days and begins to follow a group of transients on the edge of obscurity. Realizing that life is cheap in the world of these worthless throwaways, he begins to replace his objectiveness with calculated mayhem, reshaping reality into a near-perfect vision of chaotic, evil and inexpensive production values.",Crime
tt7947108,"Spiritual freedom is the real freedom, do you agree? A single father Li Yu and his autistic daughter Xiaoyu live a poetic life on an old town which colorful clouds often pass by. Father Li Yu has a lover, wine and dances. He also has a loyal dog buddy named Mumu, as well as the beautiful mountain views and velvety grassland. When Li Yu's daughter facing the bloody conspiracy, to save and to find are his bounden duties!",Crime
tt7946562,"Velma is a down and out waitress who loves to sing. She learns that she must raise $50,000 to save the bar she loves. With loan sharks at her door, will she save her legacy?",Crime
tt7882096,A star-crossed romantic love story of an ill-fated girl Paru who falls in love and eventually get married to a TV anchor Shivu who is coincidentally her lover from the past life who gets killed. Paru kills herself to join her dead husband.,Crime
tt7838260,"PADDAYI is the story of Madhava and Sugandhi. They are a newly married couple from the fishing community in India. Driven by ambition, they bring upon them selves an epic tragedy.",Crime
tt7791060,"Malti Mhaske is accused of murdering her high class owner, Kavya. Tara is defending Malti against the state in the courtroom. In a case that is hard to win Tara brings forth the subdued mental state of a physically abused ""at the hands of her former caretaker"" Malti. As the case unfolds so do complexities of the lives of Malti and her owner.",Crime
tt7782766,"The story of the greatest manhunt for Germany's most notorious child serial killer, Peter Kuerten who was responsible for sixty-eight crimes including nine homicides, thirty-one attempted attacks during 1913-1931.",Crime
tt7654144,"Daniel is a young and promising vice president in a multi-national financial corporation. He is also a playboy who plays with women's emotions. After he participated in a room escape game, the same nightmare enwinds him every night. Moreover, a number counting-back from 49 mysteriously appears on his arm. In his search for the girl's identity in his nightmares, Daniel experiences a tour to the underworld. He unravels the mystery behind the girl and his facial reconstruction 20 years ago. Finally, Daniel realizes where his deepest fears arise from. Who will survive and what will be left at the end?",Crime
tt7554880,"""There's a secret within every group"" Missed Take is a feature film about footage found on a crime scene after a group of film makers go to an abandoned barn to film a short film. The case is still open.",Crime
tt7395804,A group of career thieves plan to take down a racetrack in Los Angeles.,Crime
tt7281994,"Cool Cat is the Coolest Cat in the World. But Butch the Bully hates him and always tries to bully him, and Cool Cat shows kids how to win and be cool.",Crime
tt7235666,"One brutal home invasion, five murders, two detectives and No Witnesses.",Crime
tt7207942,"A series of events leads to the demise of an underground Romanian gang. In the midst of the chaos, unintentional partnerships seem to form.",Crime
tt7160054,"The violent film portrays the Taiwanese mob's code of ethics and hidden rules then its clash with personal morality. It explores the dark and miserable prison and tells the story of four different women Xiao-Yi, Qin, Scar and Da-Li who were all miserably stuck in violent corruption. Xiao-Yi raised by her desperate father after her mother left. When she was 18 years old, her father committed suicide by jumping off a tall building due to mental break down and gambling debts. Countless frustrations all her life made Xiao-Yi nearly crushed. Xiao-Ji grew up without parents and never had any real friends. His only refuge, his grandmother, raised him single handedly but accidentally died one day when the loan shark took illegal action to collect money on the street. He lived a lonely and desperate life until Xiao-Yi walked into his life. However, Xiao-Yi had no choice but to kill her boss after her father died and left a stack of gambling debts unpaid. Xiao-Ji is helpless to do anything, seeing the woman he loves arrested and charged with murder. Xiao-Yi was sent to prison for murder and gradually established friendship with Qin in order to fight against the vicious power of Scar and Da-Li, the brutal ""big sisters"" in jail. Qin took care of Xiao-Yi because Xiao-Yi reminded Qin of her little sister. As Xiao-Yi became Qin's protege, she learned the prisoner's trade. However, Xiao-Yi soon discovered that in this violent world things weren't always what they seemed. When Da-Li's participation in the drug trade was discovered expectedly by Qin, the fragile balance over the prison's turf was threatened. Their sisterhood was tested, and loyalty is questioned. Could Xiao- Yi be able to put her past behind her and begin a new, quiet life with Xiao-Ji after she was brutalized by the experience of being in prison? Can Xiao-Yi's love prevail even if it comes to the worst?Four different women, Xiao-Yi, Qin, Scar, and Da-Lai are miserably stuck in violent corruption from their families. Xiao-Yi met with adversities after her father committed suicide and left gambling debts. Xiao-Ji, an orphan, later finds happiness in the love of Xiao-Yi. Two desperate youngsters fell in love over the years. And more obstacles are waiting for them.",Crime
tt6896826,"A dark comedy about a disgraced runner forced into the race of his life; a race for the lives of others, each result representing a roll of the dice and a new way not to die. We Came To Wreck Everything pits cheating gangsters against crooked cops, ex-soldiers against their ex-wives' lovers, and fallen families against families about to fall, all in a race not to the light, but out of the darkness.",Crime
tt6487642,"Intrusion is a fast cop-drama that shows how a regular ""Joe"" can accidentally get entangled in the city's biggest drug operation. We follow his story as he is held prisoner by ruthless mercenaries who want nothing but total control by using Joe as a pawn. Meanwhile, the LAPD has two of their best detectives on the case who are picking up the pieces and solving the puzzle along the way.",Crime
tt6214076,"Mary is the conniving wife of a well-known televangelist who goes by the moniker ""John the Preacher"". Facing divorce with meager financial settlement, she partners with his mistress, Ginny, to rob JP of his cash fortune and split the loot. When they discover him dead from a gunshot wound to the head, their scheme starts to unravel piece by piece. Through a clever cover-up, his murder was ruled a suicide by the NYPD, but a crooked cop has other plans. When their attempt to pay off the detective backfires, a series of events unfold that reveal how the real perpetrators left them all outwitted and put out to pasture. Through a cast of offbeat characters and eccentric cameos, the story of one man's life and death takes twists and turns through the murky glint of a cocktail glass.",Crime
tt6181262,"When a team of scientists on the verge of a medical breakthrough are mysteriously murdered, two agents must protect the remaining survivor while trying to unravel the plot behind the assassinations.",Crime
tt5933040,"The Composer - a dark Parody about a kidnap that goes wrong.An abduction story that begins with extreme ideology and ends with passionate vengeance and destruction. Sarah, Muhamad's former Jewish lover, sets her mind, under a false political pretext, to abduct Muhamad and to avenge her humiliated and raged broken heart. Sarah, With the assistance of Yonatan, the psychopathic, right-wing radical and Ehud, an outsider, that his life goals are to be excepted by society and to find a woman to marry, kidnap Muhamad to a remote house. On the surface, it seems that for the three, the purpose of the abduction is to extort an olive grove as a ransom from Muhamad's family. But things aren't as they seem. Each and every one of them have a different plan of what to do with Muhamad. Sarah wants revenge. Ehud wants to please Sarah and by that to gain her heart and Yonatan is after fulfilling his dream of joining a right wing extremist organization. So extreme that it doesn't even exist. As time goes by. many questions rise as the plot branches and thickens. Muhamad understands that his only way out of this situation is to become friends with his abductors. But which one of the three?",Crime
tt5784346,The sequel to the upcoming film Fury of the Dragon.,Crime
tt5725010,"A detective is investigating a murder series, and he is torn between the case and family problems. Being a tough, intelligent officer, he sets out on a mission to find the serial killer responsible for the murders. The method used by the suspect is inspired by mind control and hypno-programming. Suspects are unable to consciously control their thoughts and actions at the time the crimes were being committed.",Crime
tt5487854,A hard time criminal gets caught in a whirlwind of killing with his lunatic partner.,Crime
tt5471472,"In 1975, a Bayonne, New Jersey underdog boxer gets a shot to fight the champ.",Crime
tt5355410,A dark side of India's Nuclear Programme,Crime
tt5086770,"A musically gifted teenage girl from New Orleans' 9th Ward is torn between family loyalty and doing what she knows is right after discovering her older cousin has become a violent criminal.Aurora Williams is a 17-year-old girl living with her parents in the New Orleans neighborhood known locally as the 9th Ward. A talented young pianist, Aurora is on the verge of leaving for college to study music when she discovers her cousin Tyrell is responsible for a heinous high-profile murder. Soon, Aurora faces a dire conundrum - turning Tyrell in is obviously the proper thing to do, but societal conventions and family loyalties complicate an already tense situation... Nobody wants to be branded ""a snitch"" in the tight-knit community of the 9th Ward. With a large reward at stake and the police closing in on Tyrell, Aurora must decide if she is willing to risk the safety of her family in order to do what is right.",Crime
tt4857736,"When an ordinary poker night is hijacked by an unwelcome guest in search of his missing money, five friends reveal secrets of betrayal as the night turns violent and the ante is raised to life or death.",Crime
tt4660378,"Traumatized and disillusioned by the death of her partner, an alcoholic Private Detective must pull herself together as she is drawn into investigating a mob hit - which threatens to ignite an all out war on the streets.Traumatized and disillusioned by the death of her partner, an alcoholic private detective named Crimson DeWitt must pull herself together as she is drawn into investigating a mob hit that threatens to ignite an all-out war on the streets. All the while, she tries to balance being sober enough to work, with being drunk enough to cope.",Crime
tt4625030,"Richard is a writer who travels from New York City to Detroit, Michigan to complete an overdue novel. Although he is under increasing pressure from his publisher, Richard's daydreaming is preventing him from completing the story. A month into his trip he is encouraged by his best friend, Karl, to take on the persona of one of his characters in order to come up with an exciting novel to submit to his publisher. Richard runs into a major problem when he meets a beautiful Latina woman named Alexandra and lies to her about being a high-roller while he's ""in character."" He finds himself in the middle of a gambling ring run by local gangsters and is forced to ""Be Somebody"" else in order to get himself out of the situation, but he quickly learns that he isn't the only unfortunate soul in the cross-hairs of a local syndicate.",Crime
tt4525058,Two men must deal with a group of criminals after accidentally killing one of them.,Crime
tt4033204,"Struggling with his new life in New Orleans, Clive follows Trevor, a former professor to his country home on the bayou to gain a new perspective. While Trevor helps Clive deal with his demons, Clive is sucked into a mission to kill.",Crime
tt3976028,"In a small California town 78 miles from LA is where a celebrities worst nightmare comes to life.In a small California town 78 miles from LA is where a celebrities worst nightmare comes to life. This is where New York Times best selling author Jordan Bradley resides. Jordan quickly finds out he is a direct target from a sadistic killer, but only if he writes a sequel to his number one hit ""Romeo's Dream."" Jordan, along with his best friend Matty, and his trans-gendered ex best friend Dani, are anything but safe in this guessing til the end, edge of your seat, cat and mouse horror film with a ending that will leave you speechless.",Crime
tt3918784,"An orphan adopted by her former village school teacher seeks to reveal the truth behind the criminal activities of an elderly international gangster who has initiated a heinous business enterprise focused on Ethiopia. SPOILER ALERT.""Mission"" is an intriguing story focusing on the mysterious contemporary enterprise of James, an elderly European racketeer infamous for decades of illegal enterprise, including such activities as gun-running and smuggling, throughout Africa with principal focus on Ethiopia. The story unfolds as the memoirs of an Ethiopian orphan who was adopted, at an early age, by a foreign school teacher in her village; now, an adult ex-soldier, Lucy seeks revenge for the brutal murder of her adoptive mother. Other important character-driven relationships are introduced as the plot unfolds: e.g., the generational schism between James, his son and his grandson; and Taffere, a renowned Ethiopian Chief of Police and his wife, Enatnesh, who initiates her own investigation into the events implicated in the death of her son.Infamous for his long career smuggling weapons, drugs and diamonds throughout Africa, an elderly international gangster has initiated a new business enterprise focused on Ethiopia. SPOILER ALERT: As the film nears its conclusion, the true nature of that business enterprise is revealed. Although ""Mission"" is a fictional narrative, it functions essentially as a public service announcement awaking the audience to one of contemporary society's most heinous of crimes.",Crime
tt3596374,"John Faust, a guilt driven detective, is offered a pact by the demon of vengeance. John Faust's lover is trapped in Hell. If he kills three serial killers using their own signature styles, he will be granted access to Hell to set her free.",Crime
tt3254614,"CLIPPED WINGS, THEY DO FLY is a feature-length, suspense movie that is loosely based on the novel of the same name by William Michael Barbee. The movie highlights the life of the lead character, ""Billy Ray Michaels."" Billy Ray suffers from Multiple Personality Disorder, compounded with Schizophrenia, and finds himself on trial for murder, a crime which he does not remember committing. Billy Ray is entangled in a world of confusion, of which, unbeknownst to him, he created. The story is told through the eyes of a few people with whom Billy Ray came in contact, including his sister, ""Jenna,"" potential boss, ""Mr. Greene,"" and his son's mother, ""Katrina,"" as they are all cross-examined by the State's Prosecution Team lead by the arrogant prosecutor, ""Toby Johnson."" From the witness stand, each tells of a different encounter with the defendant, Billy Ray, and he is slowly able to put the pieces together of his life with the help of his childhood psychotherapist, ""Dr. Shelly Neiderbach."" With Billy sometimes delusional, he sits in a crowded courtroom unaware of the severity of his dilemma. Often he's found doodling in his journal, only to have created some noteworthy poetry that will be used by his Defense Team, as they fight for his freedom.This physiological thriller is based on a cocky State Prosecutor Toby Johnson (JD Williams ) who`s challenged by his conscious to prosecute a case against Billy Ray Michaels (Usman Sharif ) who is diagnosed with Multiple Personality Disorder. Billy Ray finds himself on trial for a crime in which he dosen`t remember committing. While District Attorney Adam Stevenson ( Bill Duke ) has to manage the overly confident Toby, he`s also pressured by a zealous Mayor Goode (Frankie Faison ) to win the case. Toby reluctantly seeks advice from his father, retired Judge Johnson (Bill Cobbs ). Billy Ray`s Psychotherapist Dr. Neiderbach (Jen Bergum ), struggles to keep hidden her past with her client. This film brings awareness to people with Mental Illness.",Crime
tt2647424,"A young man learns to relinquish responsibility for the things which are beyond his control, and to concentrate on those things which are not.",Crime
tt10465998,THE IMPOSIBLE MISSION. The quest to become mightier and greater in the Christian circle motivated a lot of pastors to join the Dark circle confraternity.,Crime
tt10212512,"A bitter truth of society is ""What actually exist is not visible and whereas which is not visible does appear. Behind every successful person, there is someone, so is with Psycho, who is not psychic by his/her choice. The movie "" BEDAAD"" is an attempt to smash the mask of the faces of such people.",Crime
tt9357404,"Lea, a disturbed teenager, copes with depression and bullying as best as she can. Constantly butting heads with her single, struggling mother, she is driven into a bad group of so called friends. When she witness a murder, she finds herself cornered and fiercly fighting for her own life that she had tried to take so many times.",Crime
tt7165212,"After a tense few months following a miscarriage and an unemployment spell, things are finally looking up for Sean (Kevin Sizemore) and Lisa Miller (Elizabeth Harnois) when Sean lands his dream job at an advertising firm. But when Sean's assistant, Jen (Cerina Vincent), his self-proclaimed ""Work Wife,"" begins vying for his affection, it soon becomes clear that she will stop at nothing to rip their marriage apart and claim him as her own.",Crime
tt8649454,"Ace conman Uttam effortlessly thinks up schemes to swindle gullible and greedy folks. However on a rare occasion, things don't go according to plan and he ends up in the clutches of a ruthless gang who demand schemes from him for money.",Crime
tt1255919,A humorous take on Sir Arthur Conan Doyle's classic mysteries featuring Sherlock Holmes and Doctor Watson.,Crime
tt7194318,"The bodies of undercover Las Vegas detectives begin turning up around the city during the holiday season. Detective Matt Striker (Matthew Bonesteel), unstable from a recent loss is assigned to the case and begins flirting with the notion that there is a leak within the department. Blame shifts quickly and no one is quite sure of the detectives innocence as he isolates himself becoming obsessed with the case, sometimes bending the law to achieve outcomes. At the same time three hit men (Cody Angelo, Chris Kulikowski and Sloan Hickson) struggle to locate the last undercover officer.",Crime
tt6867770,"After waking from a coma Stanton searches for answers from the church as he remembers the journey he took during his sleep. He has to find God, save his wife from her demons and He has to save his friend from making a mistake with the local drug dealer which could cost him his life . Will he be able to save them. Are demons just a metaphor",Crime
tt6786730,Two half brothers (one of which is affected by Autism and Schizophrenia) and their American friend set about getting their lives back together when an inexperienced group of thugs violates their peace and takes them hostage.,Crime
tt6094986,Roadside motel. Adjoining rooms. Four guests. A writer. A monk. A whore. A thug. Dispute. Sex. Quarrel. Murder. Who beats who?,Crime
tt6914542,"Set in Busan, South Korea during the 1970s, Lee Doo-sam builds an empire as a drug smuggler in the Busan underworld, while public prosecutor Kim In-goo attempts to take down Lee Doo-sam.",Crime
tt7855592,A young writer and the fictional detective from his stories attempt to solve a mystery while on a writers' retreat.,Crime
tt8523334,"Nicky Larson, the best private investigator in the business, is called for a high-risk mission: to recover the perfume of Cupid, a perfume that would make irresistible the one who uses it.",Crime
tt7642618,"Derrick is in extreme debt after being put into the drug game by his associate, Antonio.",Crime
tt7295378,"Robertico is living in Curacao with Noella Maduro. While he is preparing to ask her to marry him, something happens to Ken Maduro, Noella's dad. Things go wrong, and Noelle tells Robertico she wants a time-out and flies to her dad in The Netherlands. Noella has to take her fathers job in hosting an special auction together with an wealthy young man. When Robertico finds out about this, he also flies to The Netherlands to win over Noella. With the help of his aunt Judeska, the other staff of FC Kip""Radjesh,Noltie & Kofi"", and Asian hustler Ping Ping, he hopes he can convince her to marry him.",Crime
tt8095860,"The three men, friends of childhood, will cross, compare their personal experiences and question their life of couple, family and professional.Francois Ozon's gripping drama follows three men who band together to dismantle the code of silence that continues to protect a priest who abused them decades ago. Based on events from the 2019 conviction of Cardinal Philippe Barbarin of Lyon for concealing the conduct of Father Bernard Preynat, BY THE GRACE OF GOD compassionately illustrates the varying effects of trauma on survivors and their families in this urgent portrait of resistance, the power of mobilization, and the mysteries of faith.",Crime
tt7959026,"A 90-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.Clint Eastwood stars as Earl Stone, a man in his 80s who is broke, alone, and facing foreclosure of his business when he is offered a job that simply requires him to drive. Easy enough, but, unbeknownst to Earl, he's just signed on as a drug courier for a Mexican cartel. He does well, so well, in fact, that his cargo increases exponentially, and Earl is assigned a handler. But he isn't the only one keeping tabs on Earl; the mysterious new drug mule has also hit the radar of hard-charging DEA agent Colin Bates. And even as his money problems become a thing of the past, Earl's past mistakes start to weigh heavily on him, and it's uncertain if he'll have time to right those wrongs before law enforcement, or the cartel's enforcers, catch up to him.""In Peoria, Illinois, the Korean War veteran Earl Stone is a ninety year-old horticulturist that has always prioritized his work and friends over his family. He is estranged by his ex-wife Mary and his daughter Iris. When his granddaughter Ginny is celebrating her engagement with her fiancée, Earl is completely broke, and agrees to become a mule above any suspicion for the Mexican cartel, transporting drugs from Illinois to Chicago and other places under the alias Tata. He makes money and resolves many financial issues of his family and friends. Meanwhile the efficient DEA Agent, Colin Bates, is in charge of investigating the notorious cartel and the mysterious Tata with his partner Agent Treviño.",Crime
